"record","fhcounter","host","fhlrcounter","litnum","state","country","notes","citation","taxon","author","year","current","kingdom","phylum","class","order","family","genus","species","header"
"9358",8605,"Pseudotsuga menziesii","16569","2740","Delaware","United States","Damping-off, root rot.","Cox, R.S.. 1951. A preliminary report on etiological and control studies of damping-off and root-rot in the conifer seedbed in Delaware. Pl. Dis. Reporter 35:374-378","Phoma","Sacc.",1880,"9358","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Phoma","Phoma_sp","Fungi;Ascomycota;Dothideomycetes;Pleosporales;Didymellaceae;Phoma;Phoma_sp"
"9358",8605,"Pseudotsuga menziesii","1456239","8376","Canada","Canada","Damping-off, root rot.","Ginns, J.H.. 1986. Compendium of plant disease and decay fungi in Canada 1960-1980. Res. Br. Can. Agric. Publ. 1813:416","Phoma","Sacc.",1880,"9358","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Phoma","Phoma_sp","Fungi;Ascomycota;Dothideomycetes;Pleosporales;Didymellaceae;Phoma;Phoma_sp"
"120079",8772,"Pseudotsuga menziesii","16865","312","Arizona","United States",NA,"Gilbertson, R.L., Martin, K.J., and Lindsey, J.P.. 1974. Annotated check list and host index for Arizona wood-rotting fungi.. Univ. Arizona Agric. Exp. Sta. Techn. Bull. 209:1-48","Henningsomyces candidus","(Pers.) Kuntze",1898,"120079","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricales_family_incertae_sedis","Henningsomyces","Henningsomyces_candidus","Fungi;Basidiomycota;Agaricomycetes;Agaricales;Agaricales_family_incertae_sedis;Henningsomyces;Henningsomyces_candidus"
"194860",8821,"Pseudotsuga menziesii","16950","44","Washington","United States",NA,"Shaw, C.G.. 1973. Host fungus index for the Pacific Northwest - I.  Hosts. Washington State Univ. Agric. Exp. Sta. Bull. 765:1-121","Fomes fomentarius","(L.) Fr.",1849,"194860","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Polyporaceae","Fomes","Fomes_fomentarius","Fungi;Basidiomycota;Agaricomycetes;Polyporales;Polyporaceae;Fomes;Fomes_fomentarius"
"294228",8847,"Pseudotsuga menziesii","17001","44","Oregon","United States",NA,"Shaw, C.G.. 1973. Host fungus index for the Pacific Northwest - I.  Hosts. Washington State Univ. Agric. Exp. Sta. Bull. 765:1-121","Ceratocystis piceae","(Münch) B.K. Bakshi",1950,"294228","Fungi","Ascomycota","Sordariomycetes","Microascales","Ceratocystidaceae","Ceratocystis","Ceratocystis_piceae","Fungi;Ascomycota;Sordariomycetes;Microascales;Ceratocystidaceae;Ceratocystis;Ceratocystis_piceae"
"294228",8847,"Pseudotsuga menziesii","17000","44","Washington","United States",NA,"Shaw, C.G.. 1973. Host fungus index for the Pacific Northwest - I.  Hosts. Washington State Univ. Agric. Exp. Sta. Bull. 765:1-121","Ceratocystis piceae","(Münch) B.K. Bakshi",1950,"294228","Fungi","Ascomycota","Sordariomycetes","Microascales","Ceratocystidaceae","Ceratocystis","Ceratocystis_piceae","Fungi;Ascomycota;Sordariomycetes;Microascales;Ceratocystidaceae;Ceratocystis;Ceratocystis_piceae"
"335451",8856,"Pseudotsuga menziesii","17025","312","Arizona","United States",NA,"Gilbertson, R.L., Martin, K.J., and Lindsey, J.P.. 1974. Annotated check list and host index for Arizona wood-rotting fungi.. Univ. Arizona Agric. Exp. Sta. Techn. Bull. 209:1-48","Osteina obducta","(Berk.) Donk",1966,"335451","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Dacryobolaceae","Osteina","Osteina_obducta","Fungi;Basidiomycota;Agaricomycetes;Polyporales;Dacryobolaceae;Osteina;Osteina_obducta"
"335451",8856,"Pseudotsuga menziesii","1456200","8376","Canada","Canada",NA,"Ginns, J.H.. 1986. Compendium of plant disease and decay fungi in Canada 1960-1980. Res. Br. Can. Agric. Publ. 1813:416","Osteina obducta","(Berk.) Donk",1966,"335451","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Dacryobolaceae","Osteina","Osteina_obducta","Fungi;Basidiomycota;Agaricomycetes;Polyporales;Dacryobolaceae;Osteina;Osteina_obducta"
"888",8978,"Pseudotsuga menziesii var. glauca","17273","2291","Colorado","United States",NA,"James, R.L., and Goheen, D.J.. 1981. Conifer mortality associated with root disease and insects in Colorado. Pl. Dis. 65:506-507","Ceratocystis","Ellis & Halst.",1890,"888","Fungi","Ascomycota","Sordariomycetes","Microascales","Ceratocystidaceae","Ceratocystis","Ceratocystis_sp","Fungi;Ascomycota;Sordariomycetes;Microascales;Ceratocystidaceae;Ceratocystis;Ceratocystis_sp"
"163075",9055,"Pseudotsuga taxifolia","17466","3163","California","United States","On wood.","Anonymous. 1931-1970. California Fungi. Nos. 1-1325. Exsiccati set :N/A","Propolis leonis","(Tul. & C. Tul.) Rehm",1876,"163075","Fungi","Ascomycota","Leotiomycetes","Chaetomellales","Marthamycetaceae","Propolis","Propolis_leonis","Fungi;Ascomycota;Leotiomycetes;Chaetomellales;Marthamycetaceae;Propolis;Propolis_leonis"
"122972",9066,"Pseudotsuga menziesii","17479","44","Oregon","United States",NA,"Shaw, C.G.. 1973. Host fungus index for the Pacific Northwest - I.  Hosts. Washington State Univ. Agric. Exp. Sta. Bull. 765:1-121","Steccherinum ochraceum","(Pers. ex J.F. Gmel.) Gray",1821,"122972","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Steccherinaceae","Steccherinum","Steccherinum_ochraceum","Fungi;Basidiomycota;Agaricomycetes;Polyporales;Steccherinaceae;Steccherinum;Steccherinum_ochraceum"
"122972",9066,"Pseudotsuga menziesii","1456303","8376","Canada","Canada",NA,"Ginns, J.H.. 1986. Compendium of plant disease and decay fungi in Canada 1960-1980. Res. Br. Can. Agric. Publ. 1813:416","Steccherinum ochraceum","(Pers. ex J.F. Gmel.) Gray",1821,"122972","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Steccherinaceae","Steccherinum","Steccherinum_ochraceum","Fungi;Basidiomycota;Agaricomycetes;Polyporales;Steccherinaceae;Steccherinum;Steccherinum_ochraceum"
"330249",9071,"Pseudotsuga menziesii","17485","44","Idaho","United States",NA,"Shaw, C.G.. 1973. Host fungus index for the Pacific Northwest - I.  Hosts. Washington State Univ. Agric. Exp. Sta. Bull. 765:1-121","Durandiella pseudotsugae","A. Funk",1962,"330249","Fungi","Ascomycota","Leotiomycetes","Leotiales","Tympanidaceae","Durandiella","Durandiella_pseudotsugae","Fungi;Ascomycota;Leotiomycetes;Leotiales;Tympanidaceae;Durandiella;Durandiella_pseudotsugae"
"330249",9071,"Pseudotsuga menziesii","17486","44","Oregon","United States",NA,"Shaw, C.G.. 1973. Host fungus index for the Pacific Northwest - I.  Hosts. Washington State Univ. Agric. Exp. Sta. Bull. 765:1-121","Durandiella pseudotsugae","A. Funk",1962,"330249","Fungi","Ascomycota","Leotiomycetes","Leotiales","Tympanidaceae","Durandiella","Durandiella_pseudotsugae","Fungi;Ascomycota;Leotiomycetes;Leotiales;Tympanidaceae;Durandiella;Durandiella_pseudotsugae"
"330249",9071,"Pseudotsuga menziesii","1456121","8376","Canada","Canada",NA,"Ginns, J.H.. 1986. Compendium of plant disease and decay fungi in Canada 1960-1980. Res. Br. Can. Agric. Publ. 1813:416","Durandiella pseudotsugae","A. Funk",1962,"330249","Fungi","Ascomycota","Leotiomycetes","Leotiales","Tympanidaceae","Durandiella","Durandiella_pseudotsugae","Fungi;Ascomycota;Leotiomycetes;Leotiales;Tympanidaceae;Durandiella;Durandiella_pseudotsugae"
"217783",9213,"Pseudotsuga menziesii","17771","99","Oregon","United States","On leaf surface.","Rossman, A.Y., and Lu, K.C.. 1980. Filamentous fungi associated with leaf surfaces of red alder and Douglas-fir seedlings in western Oregon. Mycotaxon 10:369-371","Cladosporium macrocarpum","Preuss",1848,"217783","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium","Cladosporium_macrocarpum","Fungi;Ascomycota;Dothideomycetes;Capnodiales;Cladosporiaceae;Cladosporium;Cladosporium_macrocarpum"
"119529",9254,"Pseudotsuga menziesii","17852","99","Oregon","United States","On leaf surface.","Rossman, A.Y., and Lu, K.C.. 1980. Filamentous fungi associated with leaf surfaces of red alder and Douglas-fir seedlings in western Oregon. Mycotaxon 10:369-371","Cladosporium sphaerospermum","Penz.",1882,"119529","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium","Cladosporium_sphaerospermum","Fungi;Ascomycota;Dothideomycetes;Capnodiales;Cladosporiaceae;Cladosporium;Cladosporium_sphaerospermum"
"231458",9304,"Pseudotsuga menziesii","17955","99","Oregon","United States","On twigs and needles.","Rossman, A.Y., and Lu, K.C.. 1980. Filamentous fungi associated with leaf surfaces of red alder and Douglas-fir seedlings in western Oregon. Mycotaxon 10:369-371","Cladosporium herbarum","(Pers.) Link",1816,"231458","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium","Cladosporium_herbarum","Fungi;Ascomycota;Dothideomycetes;Capnodiales;Cladosporiaceae;Cladosporium;Cladosporium_herbarum"
"231458",9304,"Pseudotsuga menziesii","17956","692","Oregon","United States","On twigs and needles.","Sherwood, M., and Carroll, G.. 1974. Fungal succession on needles and young twigs of old-growth Douglas fir. Mycologia 66:499-506","Cladosporium herbarum","(Pers.) Link",1816,"231458","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium","Cladosporium_herbarum","Fungi;Ascomycota;Dothideomycetes;Capnodiales;Cladosporiaceae;Cladosporium;Cladosporium_herbarum"
"231458",9304,"Pseudotsuga menziesii","1456076","8376","Canada","Canada","On twigs and needles.","Ginns, J.H.. 1986. Compendium of plant disease and decay fungi in Canada 1960-1980. Res. Br. Can. Agric. Publ. 1813:416","Cladosporium herbarum","(Pers.) Link",1816,"231458","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium","Cladosporium_herbarum","Fungi;Ascomycota;Dothideomycetes;Capnodiales;Cladosporiaceae;Cladosporium;Cladosporium_herbarum"
"238857",9333,"Pseudotsuga menziesii","18009","99","Oregon","United States","On twigs and needles.","Rossman, A.Y., and Lu, K.C.. 1980. Filamentous fungi associated with leaf surfaces of red alder and Douglas-fir seedlings in western Oregon. Mycotaxon 10:369-371","Cladosporium oxysporum","Berk. & M.A. Curtis",1868,"238857","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium","Cladosporium_oxysporum","Fungi;Ascomycota;Dothideomycetes;Capnodiales;Cladosporiaceae;Cladosporium;Cladosporium_oxysporum"
"238857",9333,"Pseudotsuga menziesii","18010","692","Oregon","United States","On twigs and needles.","Sherwood, M., and Carroll, G.. 1974. Fungal succession on needles and young twigs of old-growth Douglas fir. Mycologia 66:499-506","Cladosporium oxysporum","Berk. & M.A. Curtis",1868,"238857","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium","Cladosporium_oxysporum","Fungi;Ascomycota;Dothideomycetes;Capnodiales;Cladosporiaceae;Cladosporium;Cladosporium_oxysporum"
"340340",9467,"Pseudotsuga menziesii","18237","312","Arizona","United States",NA,"Gilbertson, R.L., Martin, K.J., and Lindsey, J.P.. 1974. Annotated check list and host index for Arizona wood-rotting fungi.. Univ. Arizona Agric. Exp. Sta. Techn. Bull. 209:1-48","Tricholomopsis bella","A.H. Sm.",1960,"340340","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricales_family_incertae_sedis","Tricholomopsis","Tricholomopsis_bella","Fungi;Basidiomycota;Agaricomycetes;Agaricales;Agaricales_family_incertae_sedis;Tricholomopsis;Tricholomopsis_bella"
"321835",9668,"Pseudotsuga menziesii","18721","346","New Mexico","United States",NA,"Gilbertson, R.L., Burdsall Jr., H.H., and Larsen, M.J.. 1975. Notes on wood-rotting hymenomycetes in New Mexico. Southw. Naturalist 19:347-360","Pseudomerulius aureus","(Fr.) Jülich",1979,"321835","Fungi","Basidiomycota","Agaricomycetes","Boletales","Tapinellaceae","Pseudomerulius","Pseudomerulius_aureus","Fungi;Basidiomycota;Agaricomycetes;Boletales;Tapinellaceae;Pseudomerulius;Pseudomerulius_aureus"
"9384",9988,"Pseudotsuga menziesii","19357","44","Oregon","United States",NA,"Shaw, C.G.. 1973. Host fungus index for the Pacific Northwest - I.  Hosts. Washington State Univ. Agric. Exp. Sta. Bull. 765:1-121","Phyllosticta","Pers.",1818,"9384","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Phyllostictaceae","Phyllosticta","Phyllosticta_sp","Fungi;Ascomycota;Dothideomycetes;Botryosphaeriales;Phyllostictaceae;Phyllosticta;Phyllosticta_sp"
"108755",10486,"Pseudotsuga menziesii","20433","1539","Northeastern states","United States","Isolated from treated utility poles.","Zabel, R.A., Kenderes, A.M., and Lombard, F.F.. 1980. Fungi associated with decay in treated Douglas-fir transmission poles in the northeastern United States. Forest Prod. J. 30:51-56","Ceriporia spissa","(Schwein. ex Fr.) Rajchenb.",1983,"108755","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Irpicaceae","Ceriporia","Ceriporia_spissa","Fungi;Basidiomycota;Agaricomycetes;Polyporales;Irpicaceae;Ceriporia;Ceriporia_spissa"
"275484",11153,"Pseudotsuga macrocarpa","21656","1090","California","United States",NA,"Miller, D.R., and Swain, K.M.. 1969. Rhabdocline needle cast found on bigcone Douglas-fir. Pl. Dis. Reporter 53:270","Rhabdocline pseudotsugae","Syd.",1922,"275484","Fungi","Ascomycota","Leotiomycetes","Helotiales","Cenangiaceae","Rhabdocline","Rhabdocline_pseudotsugae","Fungi;Ascomycota;Leotiomycetes;Helotiales;Cenangiaceae;Rhabdocline;Rhabdocline_pseudotsugae"
"298816",12107,"Pseudotsuga menziesii","23542","346","New Mexico","United States",NA,"Gilbertson, R.L., Burdsall Jr., H.H., and Larsen, M.J.. 1975. Notes on wood-rotting hymenomycetes in New Mexico. Southw. Naturalist 19:347-360","Hypochnicium geogenium","(Bres.) J. Erikss.",1958,"298816","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Polyporales_family_incertae_sedis","Hypochnicium","Hypochnicium_geogenium","Fungi;Basidiomycota;Agaricomycetes;Polyporales;Polyporales_family_incertae_sedis;Hypochnicium;Hypochnicium_geogenium"
"307888",12353,"Pseudotsuga menziesii","23993","1539","Northeastern states","United States","Isolated from treated utility poles.","Zabel, R.A., Kenderes, A.M., and Lombard, F.F.. 1980. Fungi associated with decay in treated Douglas-fir transmission poles in the northeastern United States. Forest Prod. J. 30:51-56","Xylobolus frustulatus","(Pers.) P. Karst.",1881,"307888","Fungi","Basidiomycota","Agaricomycetes","Russulales","Stereaceae","Xylobolus","Xylobolus_frustulatus","Fungi;Basidiomycota;Agaricomycetes;Russulales;Stereaceae;Xylobolus;Xylobolus_frustulatus"
"177211",12360,"Pseudotsuga menziesii","24009","1539","Northeastern states","United States","Isolated from treated utility poles.","Zabel, R.A., Kenderes, A.M., and Lombard, F.F.. 1980. Fungi associated with decay in treated Douglas-fir transmission poles in the northeastern United States. Forest Prod. J. 30:51-56","Irpex lacteus","(Fr.) Fr.",1828,"177211","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Irpicaceae","Irpex","Irpex_lacteus","Fungi;Basidiomycota;Agaricomycetes;Polyporales;Irpicaceae;Irpex;Irpex_lacteus"
"204324",12450,"Pseudotsuga menziesii","24202","1539","Northeastern states","United States","Isolated from treated utility poles.","Zabel, R.A., Kenderes, A.M., and Lombard, F.F.. 1980. Fungi associated with decay in treated Douglas-fir transmission poles in the northeastern United States. Forest Prod. J. 30:51-56","Phlebia radiata","Fr.",1821,"204324","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Meruliaceae","Phlebia","Phlebia_radiata","Fungi;Basidiomycota;Agaricomycetes;Polyporales;Meruliaceae;Phlebia;Phlebia_radiata"
"204324",12450,"Pseudotsuga menziesii","1456234","8376","Canada","Canada","Isolated from treated utility poles.","Ginns, J.H.. 1986. Compendium of plant disease and decay fungi in Canada 1960-1980. Res. Br. Can. Agric. Publ. 1813:416","Phlebia radiata","Fr.",1821,"204324","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Meruliaceae","Phlebia","Phlebia_radiata","Fungi;Basidiomycota;Agaricomycetes;Polyporales;Meruliaceae;Phlebia;Phlebia_radiata"
"245609",12476,"Pseudotsuga menziesii","24244","44","Idaho","United States",NA,"Shaw, C.G.. 1973. Host fungus index for the Pacific Northwest - I.  Hosts. Washington State Univ. Agric. Exp. Sta. Bull. 765:1-121","Pleurotus umbonatus","Peck",1905,"245609","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Pleurotaceae","Pleurotus","Pleurotus_umbonatus","Fungi;Basidiomycota;Agaricomycetes;Agaricales;Pleurotaceae;Pleurotus;Pleurotus_umbonatus"
"233252",12566,"Pseudotsuga sp.","24412","3935","Colorado","United States",NA,"Hughes, S.J.. 1960. Microfungi V. %Conoplea% Pers. and %Exosporium% Link. Canad. J. Bot. 38:659-696","Conoplea fusca","Pers.",1822,"233252","Fungi","Ascomycota","Pezizomycetes","Pezizales","Sarcosomataceae","Conoplea","Conoplea_fusca","Fungi;Ascomycota;Pezizomycetes;Pezizales;Sarcosomataceae;Conoplea;Conoplea_fusca"
"319337",12587,"Pseudotsuga menziesii","24454","1539","Northeastern states","United States","Isolated from treated utility poles.","Zabel, R.A., Kenderes, A.M., and Lombard, F.F.. 1980. Fungi associated with decay in treated Douglas-fir transmission poles in the northeastern United States. Forest Prod. J. 30:51-56","Perenniporia tenuis","(Schwein.) Ryvarden",1973,"319337","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Polyporaceae","Perenniporia","Perenniporia_tenuis","Fungi;Basidiomycota;Agaricomycetes;Polyporales;Polyporaceae;Perenniporia;Perenniporia_tenuis"
"254523",13407,"Pseudotsuga menziesii","26040","312","Arizona","United States",NA,"Gilbertson, R.L., Martin, K.J., and Lindsey, J.P.. 1974. Annotated check list and host index for Arizona wood-rotting fungi.. Univ. Arizona Agric. Exp. Sta. Techn. Bull. 209:1-48","Tricholomopsis rutilans","(Schaeff.) Singer",1939,"254523","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricales_family_incertae_sedis","Tricholomopsis","Tricholomopsis_rutilans","Fungi;Basidiomycota;Agaricomycetes;Agaricales;Agaricales_family_incertae_sedis;Tricholomopsis;Tricholomopsis_rutilans"
"10282",13781,"Pseudotsuga menziesii","1275853","25284","California","United States",NA,"French, A.M.. 1989. California Plant Disease Host Index.. Calif. Dept. Food Agric., Sacramento :394","Trichoderma","Pers.",1794,"10282","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma","Trichoderma_sp","Fungi;Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Trichoderma;Trichoderma_sp"
"10282",13781,"Pseudotsuga menziesii","26687","3715","Oregon","United States",NA,"Miller, D.J., Knutson, D.M., and Tocher, R.D.. 1983. Chemical brown staining of Douglas-fir sapwood. Forest Prod. J. 33:44-48","Trichoderma","Pers.",1794,"10282","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma","Trichoderma_sp","Fungi;Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Trichoderma;Trichoderma_sp"
"10282",13781,"Pseudotsuga menziesii","26686","44","Washington","United States",NA,"Shaw, C.G.. 1973. Host fungus index for the Pacific Northwest - I.  Hosts. Washington State Univ. Agric. Exp. Sta. Bull. 765:1-121","Trichoderma","Pers.",1794,"10282","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma","Trichoderma_sp","Fungi;Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Trichoderma;Trichoderma_sp"
"10282",13781,"Pseudotsuga menziesii","26688","2740","Delaware","United States",NA,"Cox, R.S.. 1951. A preliminary report on etiological and control studies of damping-off and root-rot in the conifer seedbed in Delaware. Pl. Dis. Reporter 35:374-378","Trichoderma","Pers.",1794,"10282","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma","Trichoderma_sp","Fungi;Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Trichoderma;Trichoderma_sp"
"10282",13781,"Pseudotsuga menziesii","1456345","8376","Canada","Canada",NA,"Ginns, J.H.. 1986. Compendium of plant disease and decay fungi in Canada 1960-1980. Res. Br. Can. Agric. Publ. 1813:416","Trichoderma","Pers.",1794,"10282","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma","Trichoderma_sp","Fungi;Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Trichoderma;Trichoderma_sp"
"129293",13974,"Pseudotsuga menziesii","1248279","32235","Wyoming","United States","On needles.","Gernandt, D.S., Camacho, F.J., and Stone, J.K.. 1997. %Meria laricis%, an anamorph of %Rhabdocline%. Mycologia 89:735-744","Rhabdocline parkeri","Sherwood, J.K. Stone & G.C. Carroll",1986,"129293","Fungi","Ascomycota","Leotiomycetes","Helotiales","Cenangiaceae","Rhabdocline","Rhabdocline_parkeri","Fungi;Ascomycota;Leotiomycetes;Helotiales;Cenangiaceae;Rhabdocline;Rhabdocline_parkeri"
"129293",13974,"Pseudotsuga menziesii","27102","700","Oregon","United States","On needles.","Sherwood-Pike, M., Stone, J.K., and Carroll, G.C.. 1986. %Rhabdocline parkeri%, a ubiquitous foliar endophyte of Douglas-fir. Canad. J. Bot. 64:1849-1855","Rhabdocline parkeri","Sherwood, J.K. Stone & G.C. Carroll",1986,"129293","Fungi","Ascomycota","Leotiomycetes","Helotiales","Cenangiaceae","Rhabdocline","Rhabdocline_parkeri","Fungi;Ascomycota;Leotiomycetes;Helotiales;Cenangiaceae;Rhabdocline;Rhabdocline_parkeri"
"129293",13974,"Pseudotsuga menziesii","1248278","32235","Oregon","United States","On needles.","Gernandt, D.S., Camacho, F.J., and Stone, J.K.. 1997. %Meria laricis%, an anamorph of %Rhabdocline%. Mycologia 89:735-744","Rhabdocline parkeri","Sherwood, J.K. Stone & G.C. Carroll",1986,"129293","Fungi","Ascomycota","Leotiomycetes","Helotiales","Cenangiaceae","Rhabdocline","Rhabdocline_parkeri","Fungi;Ascomycota;Leotiomycetes;Helotiales;Cenangiaceae;Rhabdocline;Rhabdocline_parkeri"
"302018",14243,"Pseudotsuga menziesii","27625","3824","Washington","United States",NA,"Smith, A.H., and Stuntz, D.E.. 1950. New or noteworthy fungi from Mt. Rainier National Park. Mycologia 42:80-134","Omphalina isabellina","A.H. Sm. & D.E. Stuntz",1950,"302018","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricales_family_incertae_sedis","Omphalina","Omphalina_isabellina","Fungi;Basidiomycota;Agaricomycetes;Agaricales;Agaricales_family_incertae_sedis;Omphalina;Omphalina_isabellina"
"324280",14515,"Pseudotsuga menziesii","28149","44","Oregon","United States",NA,"Shaw, C.G.. 1973. Host fungus index for the Pacific Northwest - I.  Hosts. Washington State Univ. Agric. Exp. Sta. Bull. 765:1-121","Strobilurus trullisatus","(Murrill) Lennox",1979,"324280","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Physalacriaceae","Strobilurus","Strobilurus_trullisatus","Fungi;Basidiomycota;Agaricomycetes;Agaricales;Physalacriaceae;Strobilurus;Strobilurus_trullisatus"
"324280",14515,"Pseudotsuga menziesii","1456307","8376","Canada","Canada",NA,"Ginns, J.H.. 1986. Compendium of plant disease and decay fungi in Canada 1960-1980. Res. Br. Can. Agric. Publ. 1813:416","Strobilurus trullisatus","(Murrill) Lennox",1979,"324280","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Physalacriaceae","Strobilurus","Strobilurus_trullisatus","Fungi;Basidiomycota;Agaricomycetes;Agaricales;Physalacriaceae;Strobilurus;Strobilurus_trullisatus"
"288548",14631,"Pseudotsuga menziesii","28357","44","Washington","United States",NA,"Shaw, C.G.. 1973. Host fungus index for the Pacific Northwest - I.  Hosts. Washington State Univ. Agric. Exp. Sta. Bull. 765:1-121","Mycena subcana","A.H. Sm.",1947,"288548","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Mycenaceae","Mycena","Mycena_subcana","Fungi;Basidiomycota;Agaricomycetes;Agaricales;Mycenaceae;Mycena;Mycena_subcana"
"556552",14700,"Pseudotsuga menziesii","28487","44","Oregon","United States",NA,"Shaw, C.G.. 1973. Host fungus index for the Pacific Northwest - I.  Hosts. Washington State Univ. Agric. Exp. Sta. Bull. 765:1-121","Vexillomyces pseudotsugae","(J.W. Groves) Baral",2020,"556552","Fungi","Ascomycota","Leotiomycetes","Leotiales","Tympanidaceae","Vexillomyces","Vexillomyces_pseudotsugae","Fungi;Ascomycota;Leotiomycetes;Leotiales;Tympanidaceae;Vexillomyces;Vexillomyces_pseudotsugae"
"106151",15263,"Pseudotsuga menziesii","29513","44","Washington","United States",NA,"Shaw, C.G.. 1973. Host fungus index for the Pacific Northwest - I.  Hosts. Washington State Univ. Agric. Exp. Sta. Bull. 765:1-121","Fomitiporia robusta","(P. Karst.) Fiasson & Niemelä",1984,"106151","Fungi","Basidiomycota","Agaricomycetes","Hymenochaetales","Hymenochaetaceae","Fomitiporia","Fomitiporia_robusta","Fungi;Basidiomycota;Agaricomycetes;Hymenochaetales;Hymenochaetaceae;Fomitiporia;Fomitiporia_robusta"
"317427",15335,"Pseudotsuga menziesii","29630","312","Arizona","United States",NA,"Gilbertson, R.L., Martin, K.J., and Lindsey, J.P.. 1974. Annotated check list and host index for Arizona wood-rotting fungi.. Univ. Arizona Agric. Exp. Sta. Techn. Bull. 209:1-48","Megacollybia platyphylla","(Pers.) Kotl. & Pouzar",1972,"317427","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricales_family_incertae_sedis","Megacollybia","Megacollybia_platyphylla","Fungi;Basidiomycota;Agaricomycetes;Agaricales;Agaricales_family_incertae_sedis;Megacollybia;Megacollybia_platyphylla"
"275484",15885,"Pseudotsuga menziesii","30828","3863","California","United States",NA,"Parker, A.K., and Reid, J.. 1969. The genus %Rhabdocline% Syd.. Canad. J. Bot. 47:1533-1545","Rhabdocline pseudotsugae","Syd.",1922,"275484","Fungi","Ascomycota","Leotiomycetes","Helotiales","Cenangiaceae","Rhabdocline","Rhabdocline_pseudotsugae","Fungi;Ascomycota;Leotiomycetes;Helotiales;Cenangiaceae;Rhabdocline;Rhabdocline_pseudotsugae"
"275484",15885,"Pseudotsuga menziesii","1275848","25284","California","United States",NA,"French, A.M.. 1989. California Plant Disease Host Index.. Calif. Dept. Food Agric., Sacramento :394","Rhabdocline pseudotsugae","Syd.",1922,"275484","Fungi","Ascomycota","Leotiomycetes","Helotiales","Cenangiaceae","Rhabdocline","Rhabdocline_pseudotsugae","Fungi;Ascomycota;Leotiomycetes;Helotiales;Cenangiaceae;Rhabdocline;Rhabdocline_pseudotsugae"
"275484",15885,"Pseudotsuga menziesii","30819","1882","Wisconsin","United States",NA,"Skilling, D.D.. 1979. Rhabdocline needlecast of Douglas-fir found in Wisconsin. Pl. Dis. Reporter 63:626","Rhabdocline pseudotsugae","Syd.",1922,"275484","Fungi","Ascomycota","Leotiomycetes","Helotiales","Cenangiaceae","Rhabdocline","Rhabdocline_pseudotsugae","Fungi;Ascomycota;Leotiomycetes;Helotiales;Cenangiaceae;Rhabdocline;Rhabdocline_pseudotsugae"
